Provinsi,Tanggal,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
Jawa Barat,1/29/2021,51.646,8.711
Jawa Barat,1/30/2021,57.406,5.76
Jawa Barat,1/31/2021,57.786,0.38
Jawa Barat,2/1/2021,70.314,12.528
Jawa Barat,2/2/2021,81.134,10.82
Jawa Barat,2/3/2021,92.878,11.744
Jawa Barat,2/4/2021,105.813,12.935
Jawa Barat,2/5/2021,112.967,7.154
Jawa Barat,2/6/2021,116.484,3.517
Jawa Barat,2/7/2021,116.576,0.092
Jawa Barat,2/8/2021,121.594,5.018
Jawa Barat,2/9/2021,127.31,5.716
Jawa Barat,2/10/2021,133.255,5.945
Jawa Barat,2/11/2021,139.336,6.081
Jawa Barat,2/12/2021,139.628,0.292
Jawa Barat,2/13/2021,143.492,3.864
Jawa Barat,2/14/2021,143.611,0.119
Jawa Barat,2/15/2021,147.885,4.274
Jawa Barat,2/16/2021,151.392,3.507
Jawa Barat,2/17/2021,154.949,3.557
Jawa Barat,2/18/2021,158.195,3.246
Jawa Barat,2/19/2021,159.97,1.775
Jawa Barat,2/20/2021,161.418,1.448
Jawa Barat,2/21/2021,161.441,0.023
Jawa Barat,2/22/2021,162.577,1.136
Jawa Barat,2/23/2021,163.593,1.016
Jawa Barat,2/24/2021,165.049,1.456
Jawa Barat,2/25/2021,170.334,5.285
Jawa Barat,2/26/2021,176.081,5.747
Jawa Barat,2/27/2021,181.771,5.69
Jawa Barat,2/28/2021,182.657,0.886
Jawa Barat,3/1/2021,199.612,16.955
Jawa Barat,3/2/2021,228.25,28.638
Jawa Barat,3/3/2021,262.456,34.206
Jawa Barat,3/4/2021,300.365,37.909
Jawa Barat,3/5/2021,326.014,25.649
Jawa Barat,3/6/2021,346.285,20.271
Jawa Barat,3/7/2021,349.231,2.946
Jawa Barat,3/8/2021,392.561,43.33
Jawa Barat,3/9/2021,446.089,53.528
Jawa Barat,3/10/2021,502.244,56.155
Jawa Barat,3/11/2021,506.475,4.231
Jawa Barat,3/12/2021,539.16,32.685
Jawa Barat,3/13/2021,563.361,24.201
Jawa Barat,3/14/2021,563.671,0.31
Jawa Barat,3/15/2021,604.998,41.327
Jawa Barat,3/16/2021,655.767,50.769
Jawa Barat,3/17/2021,712.611,56.844
Jawa Barat,3/18/2021,767.415,54.804
Jawa Barat,3/19/2021,799.656,32.241
Jawa Barat,3/20/2021,824.18,24.524
Jawa Barat,3/21/2021,826.138,1.958
Jawa Barat,3/22/2021,867.099,40.961
Jawa Barat,3/23/2021,915.518,48.419
Jawa Barat,3/24/2021,960.353,44.835
Jawa Barat,3/25/2021,"1,018.113",57.76
Jawa Barat,3/26/2021,"1,053.028",34.915
Jawa Barat,3/27/2021,"1,076.993",23.965
Jawa Barat,3/28/2021,"1,078.379",1.386
Jawa Barat,3/29/2021,"1,120.796",42.417
Jawa Barat,3/30/2021,"1,158.03",37.234
Jawa Barat,3/31/2021,"1,196.927",38.897
Jawa Barat,4/1/2021,"1,232.497",35.57
Jawa Barat,4/2/2021,"1,234.376",1.879
Jawa Barat,4/3/2021,"1,244.651",10.275
Jawa Barat,4/4/2021,"1,244.829",0.178
Jawa Barat,4/5/2021,"1,275.762",30.933
Jawa Barat,4/6/2021,"1,307.936",32.174
Jawa Barat,4/7/2021,"1,342.517",34.581
Jawa Barat,4/8/2021,"1,379.508",36.991
Jawa Barat,4/9/2021,"1,410.708",31.2
Jawa Barat,4/10/2021,"1,437.621",26.913
Jawa Barat,4/11/2021,"1,440.414",2.793
Jawa Barat,4/12/2021,"1,471.416",31.002
Jawa Barat,4/13/2021,"1,483.404",11.988
Jawa Barat,4/14/2021,"1,497",13.596
Jawa Barat,4/15/2021,"1,512.305",15.305
Jawa Barat,4/16/2021,"1,523.349",11.044
Jawa Barat,4/17/2021,"1,535.646",12.297
Jawa Barat,4/18/2021,"1,538.176",2.53
Jawa Barat,4/19/2021,"1,559.208",21.032
Jawa Barat,4/20/2021,"1,589.983",30.775
Jawa Barat,4/21/2021,"1,619.98",29.997
Jawa Barat,4/22/2021,"1,652.526",32.546
Jawa Barat,4/23/2021,"1,669.297",16.771
Jawa Barat,4/24/2021,"1,685.084",15.787
Jawa Barat,4/25/2021,"1,688.586",3.502
Jawa Barat,4/26/2021,"1,709.188",20.602
Jawa Barat,4/27/2021,"1,732.492",23.304
Jawa Barat,4/28/2021,"1,751.53",19.038
Jawa Barat,4/29/2021,"1,777.903",26.373
Jawa Barat,4/30/2021,"1,794.095",16.192
Jawa Barat,5/1/2021,"1,802.4",8.305
Jawa Barat,5/2/2021,"1,804.027",1.627
Jawa Barat,5/3/2021,"1,819.677",15.65
Jawa Barat,5/4/2021,"1,837.188",17.511
Jawa Barat,5/5/2021,"1,854.224",17.036
Jawa Barat,5/6/2021,"1,870.603",16.379
Jawa Barat,5/7/2021,"1,880.011",9.408
Jawa Barat,5/8/2021,"1,889.39",9.379
Jawa Barat,5/9/2021,"1,889.546",0.156
Jawa Barat,5/10/2021,"1,897.296",7.75
Jawa Barat,5/11/2021,"1,902.254",4.958
Jawa Barat,5/12/2021,"1,902.529",0.275
Jawa Barat,5/13/2021,"1,902.529",0
Jawa Barat,5/14/2021,"1,902.529",0
Jawa Barat,5/15/2021,"1,902.697",0.168
Jawa Barat,5/16/2021,"1,902.715",0.018
Jawa Barat,5/17/2021,"1,907.033",4.318
Jawa Barat,5/18/2021,"1,922.919",15.886
Jawa Barat,5/19/2021,"1,942.576",19.657
Jawa Barat,5/20/2021,"1,966.372",23.796
Jawa Barat,5/21/2021,"1,982.827",16.455
Jawa Barat,5/22/2021,"1,995.007",12.18
Jawa Barat,5/23/2021,"1,995.749",0.742
Jawa Barat,5/24/2021,"2,022.456",26.707
Jawa Barat,5/25/2021,"2,049.661",27.205
Jawa Barat,5/26/2021,"2,050.267",0.606
Jawa Barat,5/27/2021,"2,083.002",32.735
Jawa Barat,5/28/2021,"2,100.39",17.388
Jawa Barat,5/29/2021,"2,116.47",16.08
Jawa Barat,5/30/2021,"2,116.762",0.292
Jawa Barat,5/31/2021,"2,136.128",19.366
Jawa Barat,6/1/2021,"2,136.816",0.688
Jawa Barat,6/2/2021,"2,163.213",26.397
Jawa Barat,6/3/2021,"2,192.948",29.735
Jawa Barat,6/4/2021,"2,210.502",17.554
Jawa Barat,6/5/2021,"2,224.917",14.415
Jawa Barat,6/6/2021,"2,225.884",0.967
Jawa Barat,6/7/2021,"2,258.105",32.221
Jawa Barat,6/8/2021,"2,295.442",37.337
Jawa Barat,6/9/2021,"2,337.368",41.926
Jawa Barat,6/10/2021,"2,393.853",56.485
Jawa Barat,6/11/2021,"2,428.846",34.993
Jawa Barat,6/12/2021,"2,452.649",23.803
Jawa Barat,6/13/2021,"2,455.534",2.885
Jawa Barat,6/14/2021,"2,496.467",40.933
Jawa Barat,6/15/2021,"2,543.486",47.019
Jawa Barat,6/16/2021,"2,595.541",52.055
Jawa Barat,6/17/2021,"2,662.774",67.233
Jawa Barat,6/18/2021,"2,697.897",35.123
Jawa Barat,6/19/2021,"2,734.894",36.997
Jawa Barat,6/20/2021,"2,737.198",2.304
Jawa Barat,6/21/2021,"2,786.227",49.029
Jawa Barat,6/22/2021,"2,849.703",63.476
Jawa Barat,6/23/2021,"2,914.131",64.428
Jawa Barat,6/24/2021,"2,975.417",61.286
Jawa Barat,6/25/2021,"3,013.588",38.171
Jawa Barat,6/26/2021,"3,191.192",177.604
Jawa Barat,6/27/2021,"3,201.237",10.045
Jawa Barat,6/28/2021,"3,268.517",67.28
Jawa Barat,6/29/2021,"3,348.831",80.314
Jawa Barat,6/30/2021,"3,435.443",86.612
Jawa Barat,7/1/2021,"3,532.773",97.33
Jawa Barat,7/2/2021,"3,595.164",62.391
Jawa Barat,7/3/2021,"3,657.18",62.016
Jawa Barat,7/4/2021,"3,665.952",8.772
Jawa Barat,7/5/2021,"3,747.985",82.033
Jawa Barat,7/6/2021,"3,856.382",108.397
Jawa Barat,7/7/2021,"3,967.929",111.547
Jawa Barat,7/8/2021,"4,099.6",131.671
Jawa Barat,7/9/2021,"4,172.757",73.157
Jawa Barat,7/10/2021,"4,249.913",77.156
Jawa Barat,7/11/2021,"4,270.683",20.77
Jawa Barat,7/12/2021,"4,382.439",111.756
Jawa Barat,7/13/2021,"4,485.332",102.893
Jawa Barat,7/14/2021,"4,607.488",122.156
Jawa Tengah,1/13/2021,0,0
Jawa Tengah,1/14/2021,0.978,0.978
Jawa Tengah,1/15/2021,1.915,0.937
Jawa Tengah,1/16/2021,2.634,0.719
Jawa Tengah,1/17/2021,2.639,0.005
Jawa Tengah,1/18/2021,4.038,1.399
Jawa Tengah,1/19/2021,5.87,1.832
Jawa Tengah,1/20/2021,8.959,3.089
Jawa Tengah,1/21/2021,11.809,2.85
Jawa Tengah,1/22/2021,17.503,5.694
Jawa Tengah,1/23/2021,21.155,3.652
Jawa Tengah,1/24/2021,21.647,0.492
Jawa Tengah,1/25/2021,36.502,14.855
Jawa Tengah,1/26/2021,70.147,33.645
Jawa Tengah,1/27/2021,99.148,29.001
Jawa Tengah,1/28/2021,120.87,21.722
Jawa Tengah,1/29/2021,124.717,3.847
Jawa Tengah,1/30/2021,128.426,3.709
Jawa Tengah,1/31/2021,128.51,0.084
Jawa Tengah,2/1/2021,130.111,1.601
Jawa Tengah,2/2/2021,131.612,1.501
Jawa Tengah,2/3/2021,133.99,2.378
Jawa Tengah,2/4/2021,135.534,1.544
Jawa Tengah,2/5/2021,136.509,0.975
Jawa Tengah,2/6/2021,137.531,1.022
Jawa Tengah,2/7/2021,137.654,0.123
Jawa Tengah,2/8/2021,138.818,1.164
Jawa Tengah,2/9/2021,139.999,1.181
Jawa Tengah,2/10/2021,141.356,1.357
Jawa Tengah,2/11/2021,143.989,2.633
Jawa Tengah,2/12/2021,144.471,0.482
Jawa Tengah,2/13/2021,145.549,1.078
Jawa Tengah,2/14/2021,145.557,0.008
Jawa Tengah,2/15/2021,146.829,1.272
Jawa Tengah,2/16/2021,148.217,1.388
Jawa Tengah,2/17/2021,149.853,1.636
Jawa Tengah,2/18/2021,151.488,1.635
Jawa Tengah,2/19/2021,153.522,2.034
Jawa Tengah,2/20/2021,155.094,1.572
Jawa Tengah,2/21/2021,155.098,0.004
Jawa Tengah,2/22/2021,161.41,6.312
Jawa Tengah,2/23/2021,186.019,24.609
Jawa Tengah,2/24/2021,235.379,49.36
Jawa Tengah,2/25/2021,285.63,50.251
Jawa Tengah,2/26/2021,313.921,28.291
Jawa Tengah,2/27/2021,334.308,20.387
Jawa Tengah,2/28/2021,335.256,0.948
Jawa Tengah,3/1/2021,350.415,15.159
Jawa Tengah,3/2/2021,368.797,18.382
Jawa Tengah,3/3/2021,384.782,15.985
Jawa Tengah,3/4/2021,407.729,22.947
Jawa Tengah,3/5/2021,433.259,25.53
Jawa Tengah,3/6/2021,461.069,27.81
Jawa Tengah,3/7/2021,465.32,4.251
Jawa Tengah,3/8/2021,511.343,46.023
Jawa Tengah,3/9/2021,559.377,48.034
Jawa Tengah,3/10/2021,593.825,34.448
Jawa Tengah,3/11/2021,595.347,1.522
Jawa Tengah,3/12/2021,617.315,21.968
Jawa Tengah,3/13/2021,650.134,32.819
Jawa Tengah,3/14/2021,651.629,1.495
Jawa Tengah,3/15/2021,697.225,45.596
Jawa Tengah,3/16/2021,744.286,47.061
Jawa Tengah,3/17/2021,791.748,47.462
Jawa Tengah,3/18/2021,832.76,41.012
Jawa Tengah,3/19/2021,850.08,17.32
Jawa Tengah,3/20/2021,868.326,18.246
Jawa Tengah,3/21/2021,869.707,1.381
Jawa Tengah,3/22/2021,897.368,27.661
Jawa Tengah,3/23/2021,924.092,26.724
Jawa Tengah,3/24/2021,956.858,32.766
Jawa Tengah,3/25/2021,995.742,38.884
Jawa Tengah,3/26/2021,"1,022.608",26.866
Jawa Tengah,3/27/2021,"1,053.184",30.576
Jawa Tengah,3/28/2021,"1,059.39",6.206
Jawa Tengah,3/29/2021,"1,096.615",37.225
Jawa Tengah,3/30/2021,"1,124.959",28.344
Jawa Tengah,3/31/2021,"1,154.333",29.374
Jawa Tengah,4/1/2021,"1,182.038",27.705
Jawa Tengah,4/2/2021,"1,183.212",1.174
Jawa Tengah,4/3/2021,"1,194.275",11.063
Jawa Tengah,4/4/2021,"1,194.783",0.508
Jawa Tengah,4/5/2021,"1,212.398",17.615
Jawa Tengah,4/6/2021,"1,226.763",14.365
Jawa Tengah,4/7/2021,"1,242.104",15.341
Jawa Tengah,4/8/2021,"1,264.252",22.148
Jawa Tengah,4/9/2021,"1,277.265",13.013
Jawa Tengah,4/10/2021,"1,291.894",14.629
Jawa Tengah,4/11/2021,"1,294.521",2.627
Jawa Tengah,4/12/2021,"1,311.281",16.76
Jawa Tengah,4/13/2021,"1,319.313",8.032
Jawa Tengah,4/14/2021,"1,327.859",8.546
Jawa Tengah,4/15/2021,"1,339.33",11.471
Jawa Tengah,4/16/2021,"1,345.93",6.6
Jawa Tengah,4/17/2021,"1,354.338",8.408
Jawa Tengah,4/18/2021,"1,354.955",0.617
Jawa Tengah,4/19/2021,"1,364.104",9.149
Jawa Tengah,4/20/2021,"1,372.75",8.646
Jawa Tengah,4/21/2021,"1,382.27",9.52
Jawa Tengah,4/22/2021,"1,391.439",9.169
Jawa Tengah,4/23/2021,"1,399.548",8.109
Jawa Tengah,4/24/2021,"1,407.301",7.753
Jawa Tengah,4/25/2021,"1,407.685",0.384
Jawa Tengah,4/26/2021,"1,417.181",9.496
Jawa Tengah,4/27/2021,"1,427.704",10.523
Jawa Tengah,4/28/2021,"1,436.275",8.571
Jawa Tengah,4/29/2021,"1,446.991",10.716
Jawa Tengah,4/30/2021,"1,454.149",7.158
Jawa Tengah,5/1/2021,"1,454.448",0.299
Jawa Tengah,5/2/2021,"1,454.585",0.137
Jawa Tengah,5/3/2021,"1,464.93",10.345
Jawa Tengah,5/4/2021,"1,479.47",14.54
Jawa Tengah,5/5/2021,"1,496.542",17.072
Jawa Tengah,5/6/2021,"1,515.765",19.223
Jawa Tengah,5/7/2021,"1,532.779",17.014
Jawa Tengah,5/8/2021,"1,556.673",23.894
Jawa Tengah,5/9/2021,"1,556.897",0.224
Jawa Tengah,5/10/2021,"1,582.089",25.192
Jawa Tengah,5/11/2021,"1,597.714",15.625
Jawa Tengah,5/12/2021,"1,597.998",0.284
Jawa Tengah,5/13/2021,"1,597.999",0.001
Jawa Tengah,5/14/2021,"1,598.012",0.013
Jawa Tengah,5/15/2021,"1,598.615",0.603
Jawa Tengah,5/16/2021,"1,598.633",0.018
Jawa Tengah,5/17/2021,"1,607.319",8.686
Jawa Tengah,5/18/2021,"1,634.775",27.456
Jawa Tengah,5/19/2021,"1,676.565",41.79
Jawa Tengah,5/20/2021,"1,728.551",51.986
Jawa Tengah,5/21/2021,"1,762.727",34.176
Jawa Tengah,5/22/2021,"1,794.6",31.873
Jawa Tengah,5/23/2021,"1,795.063",0.463
Jawa Tengah,5/24/2021,"1,841.397",46.334
Jawa Tengah,5/25/2021,"1,890.161",48.764
Jawa Tengah,5/26/2021,"1,890.824",0.663
Jawa Tengah,5/27/2021,"1,935.713",44.889
Jawa Tengah,5/28/2021,"1,960.719",25.006
Jawa Tengah,5/29/2021,"1,988.509",27.79
Jawa Tengah,5/30/2021,"1,988.652",0.143
Jawa Tengah,5/31/2021,"2,019.697",31.045
Jawa Tengah,6/1/2021,"2,019.916",0.219
Jawa Tengah,6/2/2021,"2,051.862",31.946
Jawa Tengah,6/3/2021,"2,091.415",39.553
Jawa Tengah,6/4/2021,"2,114.756",23.341
Jawa Tengah,6/5/2021,"2,143.559",28.803
Jawa Tengah,6/6/2021,"2,145.116",1.557
Jawa Tengah,6/7/2021,"2,186.718",41.602
Jawa Tengah,6/8/2021,"2,236.537",49.819
Jawa Tengah,6/9/2021,"2,301.562",65.025
Jawa Tengah,6/10/2021,"2,375.305",73.743
Jawa Tengah,6/11/2021,"2,414.741",39.436
Jawa Tengah,6/12/2021,"2,462.737",47.996
Jawa Tengah,6/13/2021,"2,463.813",1.076
Jawa Tengah,6/14/2021,"2,517.365",53.552
Jawa Tengah,6/15/2021,"2,570.024",52.659
Jawa Tengah,6/16/2021,"2,623.446",53.422
Jawa Tengah,6/17/2021,"2,676.763",53.317
Jawa Tengah,6/18/2021,"2,706.794",30.031
Jawa Tengah,6/19/2021,"2,743.719",36.925
Jawa Tengah,6/20/2021,"2,747.462",3.743
Jawa Tengah,6/21/2021,"2,791.325",43.863
Jawa Tengah,6/22/2021,"2,841.519",50.194
Jawa Tengah,6/23/2021,"2,902.47",60.951
Jawa Tengah,6/24/2021,"2,962.664",60.194
Jawa Tengah,6/25/2021,"3,003.079",40.415
Jawa Tengah,6/26/2021,"3,167.573",164.494
Jawa Tengah,6/27/2021,"3,170.936",3.363
Jawa Tengah,6/28/2021,"3,224.814",53.878
Jawa Tengah,6/29/2021,"3,289.564",64.75
Jawa Tengah,6/30/2021,"3,361.855",72.291
Jawa Tengah,7/1/2021,"3,433.098",71.243
Jawa Tengah,7/2/2021,"3,478.679",45.581
Jawa Tengah,7/3/2021,"3,536.441",57.762
Jawa Tengah,7/4/2021,"3,548.912",12.471
Jawa Tengah,7/5/2021,"3,614.907",65.995
Jawa Tengah,7/6/2021,"3,690.798",75.891
Jawa Tengah,7/7/2021,"3,768.471",77.673
Jawa Tengah,7/8/2021,"3,843.464",74.993
Jawa Tengah,7/9/2021,"3,898.988",55.524
Jawa Tengah,7/10/2021,"3,937.581",38.593
Jawa Tengah,7/11/2021,"3,941.816",4.235
Jawa Tengah,7/12/2021,"4,013.285",71.469
Jawa Tengah,7/13/2021,"4,082.04",68.755
Jawa Tengah,7/14/2021,"4,155.023",72.983
Jawa Timur,1/3/2021,0.001,0.001
Jawa Timur,1/7/2021,0.002,0.001
Jawa Timur,1/13/2021,0.002,0
Jawa Timur,1/14/2021,0.351,0.349
Jawa Timur,1/15/2021,1.167,0.816
Jawa Timur,1/16/2021,1.743,0.576
Jawa Timur,1/17/2021,1.746,0.003
Jawa Timur,1/18/2021,3.321,1.575
Jawa Timur,1/19/2021,4.836,1.515
Jawa Timur,1/20/2021,6.853,2.017
Jawa Timur,1/21/2021,8.938,2.085
Jawa Timur,1/22/2021,11.909,2.971
Jawa Timur,1/23/2021,15.015,3.106
Jawa Timur,1/24/2021,15.73,0.715
Jawa Timur,1/25/2021,19.743,4.013
Jawa Timur,1/26/2021,24.486,4.743
Jawa Timur,1/27/2021,33.044,8.558
Jawa Timur,1/28/2021,55.23,22.186
Jawa Timur,1/29/2021,80.814,25.584
Jawa Timur,1/30/2021,104.191,23.377
Jawa Timur,1/31/2021,112.256,8.065
Jawa Timur,2/1/2021,126.425,14.169
Jawa Timur,2/2/2021,138.106,11.681
Jawa Timur,2/3/2021,144.642,6.536
Jawa Timur,2/4/2021,150.478,5.836
Jawa Timur,2/5/2021,155.372,4.894
Jawa Timur,2/6/2021,160.679,5.307
Jawa Timur,2/7/2021,161.504,0.825
Jawa Timur,2/8/2021,164.548,3.044
Jawa Timur,2/9/2021,167.431,2.883
Jawa Timur,2/10/2021,170.481,3.05
Jawa Timur,2/11/2021,174.34,3.859
Jawa Timur,2/12/2021,174.573,0.233
Jawa Timur,2/13/2021,176.439,1.866
Jawa Timur,2/14/2021,176.677,0.238
Jawa Timur,2/15/2021,178.919,2.242
Jawa Timur,2/16/2021,180.556,1.637
Jawa Timur,2/17/2021,181.742,1.186
Jawa Timur,2/18/2021,182.64,0.898
Jawa Timur,2/19/2021,183.307,0.667
Jawa Timur,2/20/2021,183.947,0.64
Jawa Timur,2/21/2021,183.972,0.025
Jawa Timur,2/22/2021,184.624,0.652
Jawa Timur,2/23/2021,197.028,12.404
Jawa Timur,2/24/2021,230.092,33.064
Jawa Timur,2/25/2021,286.23,56.138
Jawa Timur,2/26/2021,334.473,48.243
Jawa Timur,2/27/2021,372.349,37.876
Jawa Timur,2/28/2021,378.952,6.603
Jawa Timur,3/1/2021,436.462,57.51
Jawa Timur,3/2/2021,499.574,63.112
Jawa Timur,3/3/2021,552.386,52.812
Jawa Timur,3/4/2021,602.434,50.048
Jawa Timur,3/5/2021,641.106,38.672
Jawa Timur,3/6/2021,670.639,29.533
Jawa Timur,3/7/2021,671.516,0.877
Jawa Timur,3/8/2021,716.33,44.814
Jawa Timur,3/9/2021,756.506,40.176
Jawa Timur,3/10/2021,790.36,33.854
Jawa Timur,3/11/2021,791.442,1.082
Jawa Timur,3/12/2021,809.076,17.634
Jawa Timur,3/13/2021,820.43,11.354
Jawa Timur,3/14/2021,821.198,0.768
Jawa Timur,3/15/2021,839.359,18.161
Jawa Timur,3/16/2021,857.79,18.431
Jawa Timur,3/17/2021,874.449,16.659
Jawa Timur,3/18/2021,889.762,15.313
Jawa Timur,3/19/2021,898.004,8.242
Jawa Timur,3/20/2021,904.549,6.545
Jawa Timur,3/21/2021,904.829,0.28
Jawa Timur,3/22/2021,925.108,20.279
Jawa Timur,3/23/2021,941.828,16.72
Jawa Timur,3/24/2021,960.53,18.702
Jawa Timur,3/25/2021,995.741,35.211
Jawa Timur,3/26/2021,"1,029.464",33.723
Jawa Timur,3/27/2021,"1,065.112",35.648
Jawa Timur,3/28/2021,"1,069.718",4.606
Jawa Timur,3/29/2021,"1,137.573",67.855
Jawa Timur,3/30/2021,"1,200.487",62.914
Jawa Timur,3/31/2021,"1,259.736",59.249
Jawa Timur,4/1/2021,"1,313.672",53.936
Jawa Timur,4/2/2021,"1,322.673",9.001
Jawa Timur,4/3/2021,"1,358.475",35.802
Jawa Timur,4/4/2021,"1,370.021",11.546
Jawa Timur,4/5/2021,"1,416.655",46.634
Jawa Timur,4/6/2021,"1,461.331",44.676
Jawa Timur,4/7/2021,"1,511.843",50.512
Jawa Timur,4/8/2021,"1,562.158",50.315
Jawa Timur,4/9/2021,"1,601.945",39.787
Jawa Timur,4/10/2021,"1,644.625",42.68
Jawa Timur,4/11/2021,"1,653.712",9.087
Jawa Timur,4/12/2021,"1,700.079",46.367
Jawa Timur,4/13/2021,"1,720.88",20.801
Jawa Timur,4/14/2021,"1,742.987",22.107
Jawa Timur,4/15/2021,"1,769.479",26.492
Jawa Timur,4/16/2021,"1,792.877",23.398
Jawa Timur,4/17/2021,"1,808.983",16.106
Jawa Timur,4/18/2021,"1,814.581",5.598
Jawa Timur,4/19/2021,"1,839.529",24.948
Jawa Timur,4/20/2021,"1,864.515",24.986
Jawa Timur,4/21/2021,"1,886.085",21.57
Jawa Timur,4/22/2021,"1,911.133",25.048
Jawa Timur,4/23/2021,"1,930.206",19.073
Jawa Timur,4/24/2021,"1,949.21",19.004
Jawa Timur,4/25/2021,"1,950.464",1.254
Jawa Timur,4/26/2021,"1,961.195",10.731
Jawa Timur,4/27/2021,"1,972.155",10.96
Jawa Timur,4/28/2021,"1,983.572",11.417
Jawa Timur,4/29/2021,"1,997.969",14.397
Jawa Timur,4/30/2021,"2,006.245",8.276
Jawa Timur,5/1/2021,"2,007.473",1.228
Jawa Timur,5/2/2021,"2,008.251",0.778
Jawa Timur,5/3/2021,"2,015.905",7.654
Jawa Timur,5/4/2021,"2,025.572",9.667
Jawa Timur,5/5/2021,"2,042.49",16.918
Jawa Timur,5/6/2021,"2,062.992",20.502
Jawa Timur,5/7/2021,"2,085.29",22.298
Jawa Timur,5/8/2021,"2,108.535",23.245
Jawa Timur,5/9/2021,"2,109.857",1.322
Jawa Timur,5/10/2021,"2,137.129",27.272
Jawa Timur,5/11/2021,"2,156.946",19.817
Jawa Timur,5/12/2021,"2,158.012",1.066
Jawa Timur,5/13/2021,"2,158.11",0.098
Jawa Timur,5/14/2021,"2,158.13",0.02
Jawa Timur,5/15/2021,"2,158.405",0.275
Jawa Timur,5/16/2021,"2,158.532",0.127
Jawa Timur,5/17/2021,"2,172.647",14.115
Jawa Timur,5/18/2021,"2,206.56",33.913
Jawa Timur,5/19/2021,"2,253.84",47.28
Jawa Timur,5/20/2021,"2,316.566",62.726
Jawa Timur,5/21/2021,"2,357.378",40.812
Jawa Timur,5/22/2021,"2,400.699",43.321
Jawa Timur,5/23/2021,"2,402.592",1.893
Jawa Timur,5/24/2021,"2,477.679",75.087
Jawa Timur,5/25/2021,"2,566.186",88.507
Jawa Timur,5/26/2021,"2,570.357",4.171
Jawa Timur,5/27/2021,"2,660.591",90.234
Jawa Timur,5/28/2021,"2,717.605",57.014
Jawa Timur,5/29/2021,"2,779.538",61.933
Jawa Timur,5/30/2021,"2,782.173",2.635
Jawa Timur,5/31/2021,"2,858.38",76.207
Jawa Timur,6/1/2021,"2,862.08",3.7
Jawa Timur,6/2/2021,"2,939.516",77.436
Jawa Timur,6/3/2021,"3,019.998",80.482
Jawa Timur,6/4/2021,"3,069.696",49.698
Jawa Timur,6/5/2021,"3,127.153",57.457
Jawa Timur,6/6/2021,"3,135.099",7.946
Jawa Timur,6/7/2021,"3,219.076",83.977
Jawa Timur,6/8/2021,"3,311.371",92.295
Jawa Timur,6/9/2021,"3,412.051",100.68
Jawa Timur,6/10/2021,"3,529.009",116.958
Jawa Timur,6/11/2021,"3,591.795",62.786
Jawa Timur,6/12/2021,"3,659.571",67.776
Jawa Timur,6/13/2021,"3,664.22",4.649
Jawa Timur,6/14/2021,"3,763.345",99.125
Jawa Timur,6/15/2021,"3,863.915",100.57
Jawa Timur,6/16/2021,"3,959.564",95.649
Jawa Timur,6/17/2021,"4,045.602",86.038
Jawa Timur,6/18/2021,"4,089.354",43.752
Jawa Timur,6/19/2021,"4,132.632",43.278
Jawa Timur,6/20/2021,"4,138.367",5.735
Jawa Timur,6/21/2021,"4,202.798",64.431
Jawa Timur,6/22/2021,"4,276.954",74.156
Jawa Timur,6/23/2021,"4,363.262",86.308
Jawa Timur,6/24/2021,"4,459.643",96.381000000
Jawa Timur,6/25/2021,"4,518.942",59.299
Jawa Timur,6/26/2021,"4,692.765",173.823
Jawa Timur,6/27/2021,"4,704.864",12.099
Jawa Timur,6/28/2021,"4,784.285",79.421
Jawa Timur,6/29/2021,"4,891.715",107.43
Jawa Timur,6/30/2021,"5,020.75",129.035
Jawa Timur,7/1/2021,"5,150.98",130.23
Jawa Timur,7/2/2021,"5,236.534",85.554
Jawa Timur,7/3/2021,"5,325.036",88.502
Jawa Timur,7/4/2021,"5,338.706",13.67
Jawa Timur,7/5/2021,"5,465.025",126.319
Jawa Timur,7/6/2021,"5,619.536",154.511
Jawa Timur,7/7/2021,"5,783.849",164.313
Jawa Timur,7/8/2021,"5,955.036",171.187
Jawa Timur,7/9/2021,"6,080.8",125.764
Jawa Timur,7/10/2021,"6,253.491",172.691
Jawa Timur,7/11/2021,"6,269.131",15.64
Jawa Timur,7/12/2021,"6,370.379",101.248
Jawa Timur,7/13/2021,"6,466.302",95.923
Jawa Timur,7/14/2021,"6,540.43",74.128
Kalimantan Barat,1/13/2021,0,0
Kalimantan Barat,1/14/2021,0.11,0.11
Kalimantan Barat,1/15/2021,0.211,0.101
Kalimantan Barat,1/16/2021,0.248,0.037
Kalimantan Barat,1/17/2021,0.249,0.001
Kalimantan Barat,1/18/2021,0.47,0.221
Kalimantan Barat,1/19/2021,0.699,0.229
Kalimantan Barat,1/20/2021,1.09,0.391
Kalimantan Barat,1/21/2021,1.489,0.399
Kalimantan Barat,1/22/2021,1.784,0.295
Kalimantan Barat,1/23/2021,1.858,0.074
Kalimantan Barat,1/24/2021,1.863,0.005
Kalimantan Barat,1/25/2021,2.095,0.232
Kalimantan Barat,1/26/2021,2.451,0.356
Kalimantan Barat,1/27/2021,2.923,0.472
Kalimantan Barat,1/28/2021,3.46,0.537
Kalimantan Barat,1/29/2021,4.056,0.596
Kalimantan Barat,1/30/2021,5.009,0.953
Kalimantan Barat,1/31/2021,5.209,0.2
